date,inputTokens,cachedInputTokens,outputTokens,reasoningOutputTokens,totalTokens,eventCount,sessionCount,filesCount,level,levelBasis,features
2026-03-30,1980,432,900,288,3600,1,1,1,1,quantile,
2026-03-31,2475,540,1125,360,4500,2,2,1,1,quantile,
2026-04-01,0,0,0,0,0,0,0,0,0,quantile,
2026-04-02,0,0,0,0,0,0,0,0,0,quantile,
2026-04-03,5252,1146,2387,764,9549,1,1,1,2,quantile,
2026-04-04,7107,1551,3230,1033,12921,2,2,1,3,quantile,
2026-04-05,9017,1967,4099,1311,16394,3,1,1,3,quantile,
2026-04-06,0,0,0,0,0,0,0,0,0,quantile,
2026-04-07,12929,2821,5877,1881,23508,1,1,1,4,quantile,
2026-04-08,14893,3249,6770,2167,27079,2,2,1,4,quantile,
2026-04-09,16837,3673,7653,2449,30612,3,1,1,4,quantile,plugins:3
2026-04-10,13294,2900,6043,1933,24170,4,2,1,4,quantile,/fast mode:1
2026-04-11,0,0,0,0,0,0,0,0,0,quantile,
2026-04-12,16894,3686,7679,2458,30717,2,2,1,4,quantile,
2026-04-13,18556,4049,8435,2698,33738,3,1,1,4,quantile,
2026-04-14,20101,4386,9137,2924,36548,4,2,1,4,quantile,
2026-04-15,0,0,0,0,0,0,0,0,0,quantile,
2026-04-16,0,0,0,0,0,0,0,0,0,quantile,
2026-04-17,23893,5213,10861,3475,43442,3,1,1,4,quantile,
2026-04-18,24834,5418,11288,3613,45153,4,2,1,4,quantile,
2026-04-19,25598,5585,11636,3723,46542,1,1,1,4,quantile,/fast mode:1
2026-04-20,26180,5712,11900,3808,47600,2,2,1,4,quantile,
2026-04-21,0,0,0,0,0,0,0,0,0,quantile,
2026-04-22,21341,4656,9700,3104,38801,4,2,1,4,quantile,
2026-04-23,21366,4662,9712,3107,38847,1,1,1,4,quantile,plugins:2
2026-04-24,21210,4628,9641,3085,38564,2,2,1,4,quantile,
2026-04-25,20881,4556,9491,3037,37965,3,1,1,4,quantile,
2026-04-26,0,0,0,0,0,0,0,0,0,quantile,
2026-04-27,19739,4307,8972,2871,35889,1,1,1,4,quantile,
2026-04-28,0,0,0,0,0,0,0,0,0,quantile,
2026-04-29,18038,3936,8199,2624,32797,3,1,1,4,quantile,
2026-04-30,17018,3713,7736,2475,30942,4,2,1,4,quantile,plugins:3
2026-05-01,0,0,0,0,0,0,0,0,0,quantile,
2026-05-02,9282,2025,4219,1350,16876,2,2,1,3,quantile,
2026-05-03,8051,1757,3660,1170,14638,3,1,1,3,quantile,
2026-05-04,6791,1482,3087,987,12347,4,2,1,3,quantile,
2026-05-05,5523,1205,2510,803,10041,1,1,1,2,quantile,
2026-05-06,0,0,0,0,0,0,0,0,0,quantile,
2026-05-07,4455,972,2025,648,8100,3,1,1,2,quantile,/fast mode:1; plugins:1
2026-05-08,4950,1080,2250,720,9000,4,2,1,2,quantile,
2026-05-09,5445,1188,2475,792,9900,1,1,1,2,quantile,
2026-05-10,5940,1296,2700,864,10800,2,2,1,2,quantile,
2026-05-11,0,0,0,0,0,0,0,0,0,quantile,
2026-05-12,6930,1512,3150,1008,12600,4,2,1,3,quantile,
2026-05-13,1980,432,900,288,3600,1,1,1,1,quantile,
2026-05-14,2475,540,1125,360,4500,2,2,1,1,quantile,plugins:2
2026-05-15,2970,648,1350,432,5400,3,1,1,1,quantile,
2026-05-16,0,0,0,0,0,0,0,0,0,quantile,
2026-05-17,3960,864,1800,576,7200,1,1,1,1,quantile,
2026-05-18,4455,972,2025,648,8100,2,2,1,2,quantile,
2026-05-19,4950,1080,2250,720,9000,3,1,1,2,quantile,
2026-05-20,5445,1188,2475,792,9900,4,2,1,2,quantile,
2026-05-21,0,0,0,0,0,0,0,0,0,quantile,
2026-05-22,6435,1404,2925,936,11700,2,2,1,3,quantile,
2026-05-23,6930,1512,3150,1008,12600,3,1,1,3,quantile,
2026-05-24,0,0,0,0,0,0,0,0,0,quantile,
2026-05-25,2475,540,1125,360,4500,1,1,1,1,quantile,/fast mode:1
2026-05-26,0,0,0,0,0,0,0,0,0,quantile,
2026-05-27,3465,756,1575,504,6300,3,1,1,1,quantile,
2026-05-28,3960,864,1800,576,7200,4,2,1,1,quantile,plugins:1
2026-05-29,4455,972,2025,648,8100,1,1,1,2,quantile,
2026-05-30,4950,1080,2250,720,9000,2,2,1,2,quantile,
2026-05-31,0,0,0,0,0,0,0,0,0,quantile,
2026-06-01,5940,1296,2700,864,10800,4,2,1,2,quantile,
2026-06-02,6435,1404,2925,936,11700,1,1,1,3,quantile,
2026-06-03,6930,1512,3150,1008,12600,2,2,1,3,quantile,/fast mode:1
2026-06-04,1980,432,900,288,3600,3,1,1,1,quantile,plugins:2
2026-06-05,0,0,0,0,0,0,0,0,0,quantile,
2026-06-06,0,0,0,0,0,0,0,0,0,quantile,
2026-06-07,3465,756,1575,504,6300,2,2,1,1,quantile,
2026-06-08,3960,864,1800,576,7200,3,1,1,1,quantile,
2026-06-09,4455,972,2025,648,8100,4,2,1,2,quantile,
2026-06-10,0,0,0,0,0,0,0,0,0,quantile,
2026-06-11,5657,1234,2572,823,10286,2,2,1,2,quantile,plugins:3
2026-06-12,6122,1336,2783,890,11131,3,1,1,3,quantile,/fast mode:1
2026-06-13,6469,1411,2940,941,11761,4,2,1,3,quantile,
2026-06-14,6930,1512,3150,1008,12600,1,1,1,3,quantile,
2026-06-15,0,0,0,0,0,0,0,0,0,quantile,
2026-06-16,2475,540,1125,360,4500,3,1,1,1,quantile,
2026-06-17,2970,648,1350,432,5400,4,2,1,1,quantile,
2026-06-18,3465,756,1575,504,6300,1,1,1,1,quantile,plugins:1
2026-06-19,0,0,0,0,0,0,0,0,0,quantile,
2026-06-20,0,0,0,0,0,0,0,0,0,quantile,
2026-06-21,4950,1080,2250,720,9000,4,2,1,2,quantile,/fast mode:1
2026-06-22,5445,1188,2475,792,9900,1,1,1,2,quantile,
2026-06-23,5940,1296,2700,864,10800,2,2,1,2,quantile,
2026-06-24,6435,1404,2925,936,11700,3,1,1,3,quantile,
2026-06-25,0,0,0,0,0,0,0,0,0,quantile,
2026-06-26,1980,432,900,288,3600,1,1,1,1,quantile,
2026-06-27,2475,540,1125,360,4500,2,2,1,1,quantile,
2026-06-28,2970,648,1350,432,5400,3,1,1,1,quantile,
2026-06-29,3465,756,1575,504,6300,4,2,1,1,quantile,
2026-06-30,0,0,0,0,0,0,0,0,0,quantile,
2026-07-01,4455,972,2025,648,8100,2,2,1,2,quantile,
2026-07-02,0,0,0,0,0,0,0,0,0,quantile,
2026-07-03,5445,1188,2475,792,9900,4,2,1,2,quantile,
2026-07-04,5940,1296,2700,864,10800,1,1,1,2,quantile,
2026-07-05,0,0,0,0,0,0,0,0,0,quantile,
2026-07-06,6930,1512,3150,1008,12600,3,1,1,3,quantile,
2026-07-07,1980,432,900,288,3600,4,2,1,1,quantile,
2026-07-08,2475,540,1125,360,4500,1,1,1,1,quantile,
2026-07-09,2970,648,1350,432,5400,2,2,1,1,quantile,/fast mode:1; plugins:1
2026-07-10,0,0,0,0,0,0,0,0,0,quantile,
2026-07-11,3960,864,1800,576,7200,4,2,1,1,quantile,
2026-07-12,4455,972,2025,648,8100,1,1,1,2,quantile,
2026-07-13,4950,1080,2250,720,9000,2,2,1,2,quantile,
2026-07-14,6162,1344,2801,896,11203,3,1,1,3,quantile,
2026-07-15,0,0,0,0,0,0,0,0,0,quantile,
2026-07-16,10367,2262,4712,1508,18849,1,1,1,3,quantile,plugins:2
2026-07-17,12505,2728,5684,1820,22737,2,2,1,4,quantile,
2026-07-18,9195,2006,4180,1338,16719,3,1,1,3,quantile,/fast mode:1
2026-07-19,11306,2467,5139,1645,20557,4,2,1,3,quantile,
2026-07-20,0,0,0,0,0,0,0,0,0,quantile,
2026-07-21,15374,3354,6988,2236,27952,2,2,1,4,quantile,
2026-07-22,17291,3773,7860,2514,31438,3,1,1,4,quantile,
2026-07-23,19105,4168,8684,2779,34736,4,2,1,4,quantile,plugins:3
2026-07-24,20799,4538,9454,3025,37816,1,1,1,4,quantile,
2026-07-25,0,0,0,0,0,0,0,0,0,quantile,
2026-07-26,23764,5185,10802,3457,43208,3,1,1,4,quantile,
2026-07-27,25010,5457,11368,3637,45472,4,2,1,4,quantile,/fast mode:1
2026-07-28,0,0,0,0,0,0,0,0,0,quantile,
2026-07-29,21530,4698,9787,3131,39146,2,2,1,4,quantile,
2026-07-30,0,0,0,0,0,0,0,0,0,quantile,
2026-07-31,22757,4965,10344,3310,41376,4,2,1,4,quantile,
2026-08-01,23087,5037,10494,3359,41977,1,1,1,4,quantile,
2026-08-02,23232,5069,10560,3379,42240,2,2,1,4,quantile,
2026-08-03,23195,5061,10543,3373,42172,3,1,1,4,quantile,
2026-08-04,0,0,0,0,0,0,0,0,0,quantile,
2026-08-05,22606,4932,10275,3288,41101,1,1,1,4,quantile,/fast mode:1
2026-08-06,22075,4816,10034,3212,40137,2,2,1,4,quantile,plugins:2
2026-08-07,21405,4670,9730,3113,38918,3,1,1,4,quantile,
2026-08-08,20610,4497,9368,2998,37473,4,2,1,4,quantile,
2026-08-09,0,0,0,0,0,0,0,0,0,quantile,
2026-08-10,0,0,0,0,0,0,0,0,0,quantile,
2026-08-11,12209,2664,5550,1776,22199,3,1,1,3,quantile,
2026-08-12,11098,2421,5045,1614,20178,4,2,1,3,quantile,
2026-08-13,9957,2172,4526,1449,18104,1,1,1,3,quantile,plugins:3
2026-08-14,0,0,0,0,0,0,0,0,0,quantile,
2026-08-15,7670,1674,3487,1115,13946,3,1,1,3,quantile,
2026-08-16,6565,1432,2984,955,11936,4,2,1,3,quantile,
2026-08-17,5940,1296,2700,864,10800,1,1,1,2,quantile,
2026-08-18,6435,1404,2925,936,11700,2,2,1,3,quantile,
2026-08-19,0,0,0,0,0,0,0,0,0,quantile,
2026-08-20,1980,432,900,288,3600,4,2,1,1,quantile,plugins:1
2026-08-21,2475,540,1125,360,4500,1,1,1,1,quantile,
2026-08-22,2970,648,1350,432,5400,2,2,1,1,quantile,
2026-08-23,0,0,0,0,0,0,0,0,0,quantile,
2026-08-24,0,0,0,0,0,0,0,0,0,quantile,
2026-08-25,4455,972,2025,648,8100,1,1,1,2,quantile,
2026-08-26,4950,1080,2250,720,9000,2,2,1,2,quantile,
2026-08-27,5445,1188,2475,792,9900,3,1,1,2,quantile,plugins:2
2026-08-28,5940,1296,2700,864,10800,4,2,1,2,quantile,
2026-08-29,0,0,0,0,0,0,0,0,0,quantile,
2026-08-30,6930,1512,3150,1008,12600,2,2,1,3,quantile,
2026-08-31,1980,432,900,288,3600,3,1,1,1,quantile,
2026-09-01,2475,540,1125,360,4500,4,2,1,1,quantile,/fast mode:1
2026-09-02,2970,648,1350,432,5400,1,1,1,1,quantile,
2026-09-03,0,0,0,0,0,0,0,0,0,quantile,
2026-09-04,3960,864,1800,576,7200,3,1,1,1,quantile,
2026-09-05,0,0,0,0,0,0,0,0,0,quantile,
2026-09-06,4950,1080,2250,720,9000,1,1,1,2,quantile,
2026-09-07,5445,1188,2475,792,9900,2,2,1,2,quantile,
2026-09-08,0,0,0,0,0,0,0,0,0,quantile,
2026-09-09,6435,1404,2925,936,11700,4,2,1,3,quantile,
2026-09-10,6930,1512,3150,1008,12600,1,1,1,3,quantile,/fast mode:1; plugins:1
2026-09-11,1980,432,900,288,3600,2,2,1,1,quantile,
2026-09-12,2475,540,1125,360,4500,3,1,1,1,quantile,
2026-09-13,0,0,0,0,0,0,0,0,0,quantile,
2026-09-14,3465,756,1575,504,6300,1,1,1,1,quantile,
2026-09-15,3960,864,1800,576,7200,2,2,1,1,quantile,
2026-09-16,4455,972,2025,648,8100,3,1,1,2,quantile,
2026-09-17,5105,1114,2321,742,9282,4,2,1,2,quantile,plugins:2
2026-09-18,0,0,0,0,0,0,0,0,0,quantile,
2026-09-19,6097,1330,2771,887,11085,2,2,1,3,quantile,/fast mode:1
2026-09-20,6435,1404,2925,936,11700,3,1,1,3,quantile,
2026-09-21,6930,1512,3150,1008,12600,4,2,1,3,quantile,
2026-09-22,1980,432,900,288,3600,1,1,1,1,quantile,
2026-09-23,0,0,0,0,0,0,0,0,0,quantile,
2026-09-24,2970,648,1350,432,5400,3,1,1,1,quantile,plugins:3
2026-09-25,3465,756,1575,504,6300,4,2,1,1,quantile,
2026-09-26,3960,864,1800,576,7200,1,1,1,1,quantile,
2026-09-27,4455,972,2025,648,8100,2,2,1,2,quantile,
2026-09-28,0,0,0,0,0,0,0,0,0,quantile,
2026-09-29,5445,1188,2475,792,9900,4,2,1,2,quantile,
2026-09-30,5940,1296,2700,864,10800,1,1,1,2,quantile,
2026-10-01,0,0,0,0,0,0,0,0,0,quantile,
2026-10-02,6930,1512,3150,1008,12600,3,1,1,3,quantile,
2026-10-03,0,0,0,0,0,0,0,0,0,quantile,
2026-10-04,2475,540,1125,360,4500,1,1,1,1,quantile,
2026-10-05,2970,648,1350,432,5400,2,2,1,1,quantile,
2026-10-06,3465,756,1575,504,6300,3,1,1,1,quantile,
2026-10-07,3960,864,1800,576,7200,4,2,1,1,quantile,/fast mode:1
2026-10-08,0,0,0,0,0,0,0,0,0,quantile,
2026-10-09,4950,1080,2250,720,9000,2,2,1,2,quantile,
2026-10-10,5445,1188,2475,792,9900,3,1,1,2,quantile,
2026-10-11,5940,1296,2700,864,10800,4,2,1,2,quantile,
2026-10-12,6435,1404,2925,936,11700,1,1,1,3,quantile,
2026-10-13,0,0,0,0,0,0,0,0,0,quantile,
2026-10-14,0,0,0,0,0,0,0,0,0,quantile,
2026-10-15,2475,540,1125,360,4500,4,2,1,1,quantile,plugins:3
2026-10-16,2970,648,1350,432,5400,1,1,1,1,quantile,/fast mode:1
2026-10-17,3465,756,1575,504,6300,2,2,1,1,quantile,
2026-10-18,0,0,0,0,0,0,0,0,0,quantile,
2026-10-19,4455,972,2025,648,8100,4,2,1,2,quantile,
2026-10-20,4950,1080,2250,720,9000,1,1,1,2,quantile,
2026-10-21,5445,1188,2475,792,9900,2,2,1,2,quantile,
2026-10-22,5940,1296,2700,864,10800,3,1,1,2,quantile,plugins:1
2026-10-23,0,0,0,0,0,0,0,0,0,quantile,
2026-10-24,6930,1512,3150,1008,12600,1,1,1,3,quantile,
2026-10-25,3586,782,1630,522,6520,2,2,1,1,quantile,/fast mode:1
2026-10-26,5843,1275,2656,850,10624,3,1,1,2,quantile,
2026-10-27,0,0,0,0,0,0,0,0,0,quantile,
2026-10-28,0,0,0,0,0,0,0,0,0,quantile,
2026-10-29,12514,2730,5688,1820,22752,2,2,1,4,quantile,plugins:2
2026-10-30,14634,3193,6652,2128,26607,3,1,1,4,quantile,
2026-10-31,16669,3637,7577,2425,30308,4,2,1,4,quantile,
2026-11-01,18601,4058,8455,2706,33820,1,1,1,4,quantile,
2026-11-02,0,0,0,0,0,0,0,0,0,quantile,
2026-11-03,22087,4819,10040,3213,40159,3,1,1,4,quantile,/fast mode:1
2026-11-04,23612,5152,10733,3434,42931,4,2,1,4,quantile,
2026-11-05,19530,4261,8877,2841,35509,1,1,1,4,quantile,plugins:3
2026-11-06,20721,4521,9419,3013,37674,2,2,1,4,quantile,
2026-11-07,0,0,0,0,0,0,0,0,0,quantile,
2026-11-08,22560,4922,10255,3282,41019,4,2,1,4,quantile,
2026-11-09,0,0,0,0,0,0,0,0,0,quantile,
2026-11-10,23658,5162,10754,3441,43015,2,2,1,4,quantile,
2026-11-11,23930,5221,10877,3481,43509,3,1,1,4,quantile,
2026-11-12,0,0,0,0,0,0,0,0,0,quantile,
2026-11-13,23946,5225,10885,3483,43539,1,1,1,4,quantile,
2026-11-14,23708,5173,10777,3448,43106,2,2,1,4,quantile,
2026-11-15,23321,5088,10600,3392,42401,3,1,1,4,quantile,
2026-11-16,17353,3786,7888,2523,31550,4,2,1,4,quantile,
2026-11-17,0,0,0,0,0,0,0,0,0,quantile,
2026-11-18,15962,3483,7256,2321,29022,2,2,1,4,quantile,
2026-11-19,15131,3301,6878,2200,27510,3,1,1,4,quantile,plugins:2
2026-11-20,14232,3105,6469,2071,25877,4,2,1,4,quantile,
2026-11-21,13288,2899,6040,1933,24160,1,1,1,4,quantile,/fast mode:1
2026-11-22,0,0,0,0,0,0,0,0,0,quantile,
2026-11-23,11340,2474,5155,1650,20619,3,1,1,3,quantile,
2026-11-24,10376,2264,4717,1509,18866,4,2,1,3,quantile,
2026-11-25,9445,2061,4293,1374,17173,1,1,1,3,quantile,
2026-11-26,8565,1869,3893,1245,15572,2,2,1,3,quantile,plugins:3
2026-11-27,0,0,0,0,0,0,0,0,0,quantile,
2026-11-28,2475,540,1125,360,4500,4,2,1,1,quantile,
2026-11-29,2970,648,1350,432,5400,1,1,1,1,quantile,
2026-11-30,3465,756,1575,504,6300,2,2,1,1,quantile,/fast mode:1
2026-12-01,3960,864,1800,576,7200,3,1,1,1,quantile,
2026-12-02,0,0,0,0,0,0,0,0,0,quantile,
2026-12-03,4950,1080,2250,720,9000,1,1,1,2,quantile,plugins:1
2026-12-04,5445,1188,2475,792,9900,2,2,1,2,quantile,
2026-12-05,0,0,0,0,0,0,0,0,0,quantile,
2026-12-06,6435,1404,2925,936,11700,4,2,1,3,quantile,
2026-12-07,0,0,0,0,0,0,0,0,0,quantile,
2026-12-08,1980,432,900,288,3600,2,2,1,1,quantile,
2026-12-09,2475,540,1125,360,4500,3,1,1,1,quantile,/fast mode:1
2026-12-10,2970,648,1350,432,5400,4,2,1,1,quantile,plugins:2
2026-12-11,3465,756,1575,504,6300,1,1,1,1,quantile,
2026-12-12,0,0,0,0,0,0,0,0,0,quantile,
2026-12-13,4455,972,2025,648,8100,3,1,1,2,quantile,
2026-12-14,4950,1080,2250,720,9000,4,2,1,2,quantile,
2026-12-15,5445,1188,2475,792,9900,1,1,1,2,quantile,
2026-12-16,5940,1296,2700,864,10800,2,2,1,2,quantile,
2026-12-17,0,0,0,0,0,0,0,0,0,quantile,
2026-12-18,0,0,0,0,0,0,0,0,0,quantile,
2026-12-19,1980,432,900,288,3600,1,1,1,1,quantile,
2026-12-20,2475,540,1125,360,4500,2,2,1,1,quantile,
2026-12-21,3481,759,1582,507,6329,3,1,1,1,quantile,
2026-12-22,0,0,0,0,0,0,0,0,0,quantile,
2026-12-23,5312,1159,2415,773,9659,1,1,1,2,quantile,
2026-12-24,6086,1328,2767,885,11066,2,2,1,3,quantile,plugins:1
2026-12-25,6752,1473,3069,983,12277,3,1,1,3,quantile,
2026-12-26,7303,1593,3320,1062,13278,4,2,1,3,quantile,
2026-12-27,0,0,0,0,0,0,0,0,0,quantile,
2026-12-28,8037,1753,3653,1169,14612,2,2,1,3,quantile,
2026-12-29,8216,1793,3735,1194,14938,3,1,1,3,quantile,
2026-12-30,2825,616,1284,412,5137,4,2,1,1,quantile,
2026-12-31,0,0,0,0,0,0,0,0,0,quantile,
